DATE,CFO Optimisim
31-Dec-01,N/A
31-Mar-02,N/A
30-Jun-02,62.02
30-Sep-02,57.60
31-Dec-02,61.65
31-Mar-03,55.44
30-Jun-03,61.68
30-Sep-03,65.16
31-Dec-03,71.02
31-Mar-04,67.48
30-Jun-04,68.93
30-Sep-04,66.16
31-Dec-04,67.30
31-Mar-05,N/A
30-Jun-05,65.02
30-Sep-05,67.37
31-Dec-05,64.48
31-Mar-06,67.21
30-Jun-06,64.14
30-Sep-06,62.22
31-Dec-06,65.84
31-Mar-07,67.32
30-Jun-07,65.03
30-Sep-07,60.45
31-Dec-07,56.95
31-Mar-08,51.66
30-Jun-08,51.78
30-Sep-08,54.09
31-Dec-08,41.76
31-Mar-09,39.9
30-Jun-09,51.7
30-Sep-09,55.6
31-Dec-09,54.5
31-Mar-10,55.5
30-Jun-10,57.5
30-Sep-10,49.3
31-Dec-10,58.7
31-Mar-11,61.3
30-Jun-11,57.1
30-Sep-11,49.4
31-Dec-11,53.3
31-Mar-12,59.2
30-Jun-12,55.7
30-Sep-12,52.1
31-Dec-12,50.7
31-Mar-13,55.3
30-Jun-13,60.8
30-Sep-13,58.2
31-Dec-13,57.2
31-Mar-14,60
30-Jun-14,61.1
30-Sep-14,62.5
31-Dec-14,63.7
31-Mar-15,64.7
30-Jun-15,62.9
30-Sep-15,60
31-Dec-15,60.3
31-Mar-16,58.6
30-Jun-16,59.4
30-Sep-16,60.6
31-Dec-16,66.5
31-Mar-17,68.5
30-Jun-17,67.4
30-Sep-17,65.9
31-Dec-17,68.6
31-Mar-18,71.2
30-Jun-18,71.1
30-Sep-18,70
31-Dec-18,66.4
31-Mar-19,64.6
30-Jun-19,65.7
30-Sep-19,62.6
31-Dec-19,66.6
31-Mar-20,50.9